900,,,792,,,611,,,471,,,380,,,280,,,177,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,,,,,,,,,,,,,,,,,,,,,,0.0262,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2425875,5.075053,0.04789999,0.2440774,5.095562,0.083,0.3217949,3.877047,0.0471,0.1018398,2.162205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2449808,5.103766,0.04789999,0.2432915,5.079155,0.08449999,0.3272639,3.872946,0.0468,0.102343,2.186816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2443901,5.091461,0.048,0.244587,5.095562,0.08429999,0.328564,3.897557,0.0469,0.1015998,2.166306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.243095,5.075053,0.0478,0.2423915,5.070951,0.08449999,0.3293435,3.897557,0.0467,0.1023158,2.190917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2431758,5.087359,0.04789999,0.243095,5.075053,0.0841,0.3270946,3.889353,0.0472,0.1028305,2.178612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2442739,5.099665,0.0482,0.2448153,5.079155,0.08389999,0.3290699,3.922168,0.0466,0.1026702,2.203223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0483,0.2437382,5.04634,0.0481,0.2437154,5.066849,0.0837,0.3303454,3.946779,0.0467,0.1019327,2.182714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2428986,5.070951,0.0477,0.2418844,5.070951,0.08359999,0.3272074,3.913964,0.0467,0.102699,2.199121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2442739,5.099665,0.0476,0.2409868,5.062747,0.08289999,0.3265079,3.938576,0.0463,0.1031487,2.227834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2425056,5.062747,0.0476,0.2421583,5.087359,0.0828,0.3278122,3.959085,0.0461,0.1030814,2.236038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2431758,5.087359,0.048,0.2437994,5.079155,0.0824,0.3275806,3.975492,0.046,0.1026691,2.231936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0477,0.2418844,5.070951,0.048,0.2420274,5.042238,0.0824,0.3289325,3.9919,0.04619999,0.1021679,2.211427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0484,0.2464267,5.091461,0.0477,0.243254,5.099665,0.0821,0.3270614,3.983696,0.0463,0.1029588,2.223733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0481,0.2443073,5.079155,0.0482,0.2444199,5.070951,0.08200001,0.3276722,3.996002,0.046,0.1028578,2.236038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2427836,5.079155,0.0476,0.2421583,5.087359,0.0816,0.3270779,4.008307,0.0458,0.1025984,2.24014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2437994,5.079155,0.0481,0.2441101,5.075053,0.08049999,0.3226687,4.008307,0.0453,0.1007351,2.223733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2443901,5.091461,0.0482,0.2461993,5.107868,0.08129999,0.3268758,4.020613,0.0458,0.1024105,2.236038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0481,0.2456885,5.107868,0.048,0.2398616,4.997118,0.0809,0.3272587,4.045225,0.0451,0.1025103,2.272955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2425875,5.075053,0.048,0.2432087,5.066849,0.0807,0.3264496,4.045225,0.0452,0.1012543,2.24014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2447839,5.099665,0.0478,0.2433718,5.091461,0.0808,0.3278484,4.05753,0.0452,0.1016251,2.248344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
